17/03/2023 11:01:08 AM - INFO - =================================
17/03/2023 11:01:08 AM - INFO - Início do Programa
17/03/2023 11:01:08 AM - INFO - *** Instância de Title - linha: 0, coluna: 1***
17/03/2023 11:01:08 AM - INFO - *** Instância de Input - linha: 0, coluna 2***
17/03/2023 11:01:08 AM - INFO - *** Instância de VisualWarning - linha: 0, coluna: 0 ***
17/03/2023 11:01:08 AM - INFO - *** Instância de SearchButton - linha: 0, coluna 3***
17/03/2023 11:01:08 AM - INFO - *** Instância de Title - linha: 1, coluna: 1***
17/03/2023 11:01:08 AM - INFO - *** Instância de Input - linha: 1, coluna 2***
17/03/2023 11:01:08 AM - INFO - *** Instância de VisualWarning - linha: 1, coluna: 0 ***
17/03/2023 11:01:08 AM - INFO - *** Instância de SearchButton - linha: 1, coluna 3***
17/03/2023 11:01:08 AM - INFO - *** Instância de Title - linha: 2, coluna: 1***
17/03/2023 11:01:08 AM - INFO - *** Instância de Input - linha: 2, coluna 2***
17/03/2023 11:01:08 AM - INFO - *** Instância de VisualWarning - linha: 2, coluna: 0 ***
17/03/2023 11:01:08 AM - INFO - *** Instância de SearchButton - linha: 2, coluna 3***
17/03/2023 11:01:08 AM - INFO - *** Instância de Title - linha: 3, coluna: 1***
17/03/2023 11:01:08 AM - INFO - *** Instância de Input - linha: 3, coluna 2***
17/03/2023 11:01:08 AM - INFO - *** Instância de VisualWarning - linha: 3, coluna: 0 ***
17/03/2023 11:01:08 AM - INFO - *** Instância de SearchButton - linha: 3, coluna 3***
17/03/2023 11:01:08 AM - INFO - *** Instância de Title - linha: 4, coluna: 1***
17/03/2023 11:01:08 AM - INFO - *** Instância de Input - linha: 4, coluna 2***
17/03/2023 11:01:08 AM - INFO - *** Instância de VisualWarning - linha: 4, coluna: 0 ***
17/03/2023 11:01:08 AM - INFO - *** Instância de SearchButton - linha: 4, coluna 3***
17/03/2023 11:01:08 AM - INFO - *** Instância de ActionButton - linha: 5, coluna 0***
17/03/2023 11:01:08 AM - INFO - *** Instância de ActionButton - linha: 5, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 0, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 0, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 0, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 1, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 1, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 1, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 2, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 2, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 2, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 3, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 3, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 3, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 4, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 4, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 4, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 5, coluna: 1***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 5, coluna 2***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 5, coluna: 3***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 0, coluna: 4***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 0, coluna 5***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 0, coluna: 6***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 1, coluna: 4***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 1, coluna 5***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 1, coluna: 6***
17/03/2023 11:01:09 AM - INFO - *** Instância de Title - linha: 2, coluna: 4***
17/03/2023 11:01:09 AM - INFO - *** Instância de Input - linha: 2, coluna 5***
